,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM5G857944,-1.590495531,4.074666507,5.63E-10,9.02E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G093474,2.606702552,3.856361512,5.69E-10,9.04E-08,,,,,,,,,,,,,,,,,,,
GRMZM2G163406,6.014045246,1.395540784,5.74E-10,9.06E-08,,Mannose-binding lectin in Arabidopsis.,,,,Jacalin-binding lectin in rice.,,,,,,,,,,,,,
GRMZM2G141731,2.272204678,3.165576808,6.45E-10,1.01E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G079873,2.381108317,3.583973859,6.51E-10,1.01E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G410357,1.331872875,5.542772335,6.80E-10,1.05E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G473001,1.540986558,7.125738168,7.15E-10,1.10E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G018820,2.529385274,8.883563902,7.73E-10,1.18E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G039345,1.257786451,5.187635141,8.12E-10,1.23E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G166906,3.981060634,3.699461836,8.47E-10,1.27E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G404603,3.014946813,1.978739615,9.01E-10,1.35E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G058227,3.004568696,6.454304436,9.95E-10,1.48E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G064091,3.559524026,4.712167142,1.01E-09,1.49E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G139689,1.566724342,5.805627236,1.05E-09,1.54E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G423863,3.585853173,3.114192294,1.07E-09,1.55E-07,,PAR 1,An auxin repressor.,,,,,,,,,,,,,,,,
GRMZM2G043955,-1.605978422,4.124771664,1.07E-09,1.55E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G134054,2.662093492,4.847449831,1.15E-09,1.65E-07,,,,,,,,,,,,,,,,,,,
AC197705.4_FG011,1.458941886,8.322712447,1.17E-09,1.67E-07,,,,,,,,,,,,,,,,,,,
GRMZM5G828229,1.613319263,5.52316047,1.19E-09,1.69E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G079746,1.646629761,4.212863601,1.21E-09,1.71E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G101270,5.153049511,1.950557745,1.30E-09,1.82E-07,,,,,,,,,,,,,,,,,,,
