,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM2G154523,-2.054478701,0.984681027,0.027313701,0.143898167,,,,,,,,,,,,,,,,,,,
GRMZM2G309025,-0.72641069,1.983946963,0.027315283,0.143898167,,,,,,,,,,,,,,,,,,,
GRMZM2G132032,-0.703887065,3.858474792,0.027325659,0.143918989,,,,,,,,,,,,,,,,,,,
GRMZM2G139198,0.605319086,3.309793195,0.027341955,0.143970974,,,,,,,,,,,,,,,,,,,
GRMZM2G051984,-0.474777067,6.030873667,0.027356808,0.144015337,,,,,,,,,,,,,,,,,,,
GRMZM2G068489,0.35282248,5.381935757,0.027375998,0.144082508,,,,,,,,,,,,,,,,,,,
GRMZM2G005991,-1.388473015,0.68317305,0.027403825,0.14419509,,,,,,,,,,,,,,,,,,,
GRMZM2G083058,-0.599534184,7.703043353,0.027431781,0.144308301,,,,,,,,,,,,,,,,,,,
GRMZM2G141634,0.578913733,5.283086036,0.027442172,0.144329078,,,,,,,,,,,,,,,,,,,
GRMZM2G027769,-0.921581943,3.475757743,0.027479084,0.144489293,,,,,,,,,,,,,,,,,,,
GRMZM2G116542,1.810010535,0.79287062,0.027496814,0.14453117,,,,,,,,,,,,,,,,,,,
GRMZM2G070588,-0.804676503,3.714492937,0.02749995,0.14453117,,,,,,,,,,,,,,,,,,,
GRMZM2G179500,0.820050173,3.241067098,0.027562906,0.144828077,,,,,,,,,,,,,,,,,,,
GRMZM2G082302,-0.650728643,3.392351374,0.027583931,0.144875948,,,,,,,,,,,,,,,,,,,
GRMZM5G802761,0.548007547,4.535901737,0.027592193,0.144875948,,,,,,,,,,,,,,,,,,,
GRMZM6G616789,0.779799188,2.707211369,0.027597139,0.144875948,,,,,,,,,,,,,,,,,,,
GRMZM2G142667,1.284897514,1.270546047,0.027597882,0.144875948,,,,,,,,,,,,,,,,,,,
GRMZM2G149576,-0.751385379,6.915927194,0.027626148,0.144990362,,,,,,,,,,,,,,,,,,,
GRMZM2G174137,0.50977748,3.309821523,0.027650931,0.145086441,,,,,,,,,,,,,,,,,,,
GRMZM5G816289,1.357148351,0.586851667,0.027669234,0.145148487,,,,,,,,,,,,,,,,,,,
GRMZM2G009163,0.48610744,4.581481563,0.027707577,0.145315606,,,,,,,,,,,,,,,,,,,
GRMZM2G097342,-1.096667625,2.100140927,0.027720033,0.14534691,,,,,,,,,,,,,,,,,,,
AC202435.3_FG003,2.751222379,1.444052541,0.027733475,0.145383365,,,,,,,,,,,,,,,,,,,
GRMZM5G821433,-0.559054459,5.193684795,0.027776925,0.145577077,,,,,,,,,,,,,,,,,,,
GRMZM2G380297,2.781889744,2.066000306,0.027792041,0.145622237,,,,,,,,,,,,,,,,,,,
GRMZM2G480712,-0.993872501,1.319086261,0.02783871,0.145803035,,,,,,,,,,,,,,,,,,,
GRMZM2G049632,-0.904616804,1.502360436,0.027839562,0.145803035,,,,,,,,,,,,,,,,,,,
GRMZM2G442195,0.324758702,6.088425697,0.027856089,0.145810631,,,,,,,,,,,,,,,,,,,
GRMZM2G101217,-0.604813701,2.721618806,0.02785936,0.145810631,,,,,,,,,,,,,,,,,,,
GRMZM2G435979,-0.93846604,1.981507405,0.027865324,0.145810631,,,,,,,,,,,,,,,,,,,
GRMZM5G858556,0.746133432,1.832237299,0.027869618,0.145810631,,,,,,,,,,,,,,,,,,,
GRMZM2G570634,0.519294105,3.565203028,0.027873552,0.145810631,,,,,,,,,,,,,,,,,,,
GRMZM2G396451,-0.723095032,3.511886199,0.027911401,0.145974543,,,,,,,,,,,,,,,,,,,
GRMZM2G092475,0.510525675,5.799903331,0.027932065,0.146040637,,,,,,,,,,,,,,,,,,,
GRMZM2G104505,0.434892606,4.869267804,0.027937075,0.146040637,,,,,,,,,,,,,,,,,,,
GRMZM2G138842,-0.663243153,3.77527036,0.027968048,0.146137207,,,,,,,,,,,,,,,,,,,
GRMZM2G117993,0.56053763,4.632106202,0.027968594,0.146137207,,,,,,,,,,,,,,,,,,,
GRMZM2G107818,2.600433124,0.361925083,0.027985938,0.146169878,,,,,,,,,,,,,,,,,,,
GRMZM2G128971,-0.470990302,9.449179514,0.027987911,0.146169878,,,,,,,,,,,,,,,,,,,
GRMZM2G131327,-0.927403318,1.676112959,0.027994419,0.146169878,,,,,,,,,,,,,,,,,,,
GRMZM2G092085,-0.519589403,4.11579193,0.028010112,0.146217743,,,,,,,,,,,,,,,,,,,
GRMZM2G050810,-1.163534536,0.951473095,0.02804051,0.146342329,,,,,,,,,,,,,,,,,,,
GRMZM2G414252,1.428855832,0.816344505,0.028083147,0.146530717,,,,,,,,,,,,,,,,,,,
GRMZM2G118462,0.423999378,7.570039058,0.028145135,0.146819966,,,,,,,,,,,,,,,,,,,
GRMZM2G363052,-0.530018861,3.39871954,0.028168841,0.146909422,,,,,,,,,,,,,,,,,,,
GRMZM5G859592,0.441300793,6.250721815,0.028196377,0.147016002,,,,,,,,,,,,,,,,,,,
GRMZM2G105571,-0.401905508,6.5192256,0.0282024,0.147016002,,,,,,,,,,,,,,,,,,,
GRMZM5G821988,-0.378539145,6.319653668,0.028219589,0.147071388,,,,,,,,,,,,,,,,,,,
GRMZM2G028521,-0.472188419,7.390106513,0.028257904,0.147182608,,,,,,,,,,,,,,,,,,,
GRMZM2G388018,-1.200197267,0.660519277,0.028263482,0.147182608,,,,,,,,,,,,,,,,,,,
GRMZM2G114192,0.57747551,3.149921873,0.02826441,0.147182608,,,,,,,,,,,,,,,,,,,
GRMZM2G035741,-0.403650006,6.646341101,0.028271186,0.147182608,,,,,,,,,,,,,,,,,,,
GRMZM2G382914,0.410688689,8.900605757,0.028276068,0.147182608,,,,,,,,,,,,,,,,,,,
GRMZM2G061096,-0.918359395,2.604030604,0.028280345,0.147182608,,,,,,,,,,,,,,,,,,,
GRMZM2G151863,-0.376651629,4.539322075,0.028296296,0.147200447,,,,,,,,,,,,,,,,,,,
GRMZM2G174860,-1.44259055,1.627895025,0.028296913,0.147200447,,,,,,,,,,,,,,,,,,,
GRMZM2G355610,-0.366832028,6.292438592,0.028341847,0.147349761,,,,,,,,,,,,,,,,,,,
GRMZM2G334722,0.652218281,4.658038103,0.028342835,0.147349761,,,,,,,,,,,,,,,,,,,
GRMZM5G808610,0.709984743,4.303467667,0.028345346,0.147349761,,,,,,,,,,,,,,,,,,,
GRMZM2G128641,0.932403894,3.488649503,0.02847026,0.14793867,,,,,,,,,,,,,,,,,,,
GRMZM2G178038,-0.610896113,4.488378158,0.028471839,0.14793867,,,,,,,,,,,,,,,,,,,
GRMZM5G857871,-0.85307933,1.4755498,0.028482346,0.147958952,,,,,,,,,,,,,,,,,,,
GRMZM2G041633,0.393117361,5.672502197,0.028523739,0.148139633,,,,,,,,,,,,,,,,,,,
GRMZM2G053206,1.235763991,3.183586603,0.028532857,0.148152647,,,,,,,,,,,,,,,,,,,
GRMZM2G551220,-1.031785957,1.006373748,0.028540635,0.148158695,,,,,,,,,,,,,,,,,,,
GRMZM2G578141,-1.077488089,1.200314478,0.028562356,0.148237106,,,,,,,,,,,,,,,,,,,
GRMZM2G169080,1.178614031,0.648217542,0.028621832,0.148490803,,,,,,,,,,,,,,,,,,,
GRMZM2G111455,1.462734854,1.2863116,0.028624493,0.148490803,,,,,,,,,,,,,,,,,,,
GRMZM2G007477,-0.645200179,5.729858277,0.028649431,0.148562638,,,,,,,,,,,,,,,,,,,
AC155610.2_FG007,-1.463427636,0.438761094,0.028654434,0.148562638,,,,,,,,,,,,,,,,,,,
GRMZM2G153017,0.647589262,3.631422986,0.028658233,0.148562638,,,,,,,,,,,,,,,,,,,
GRMZM2G086925,-0.914683029,3.365418833,0.028684072,0.148662189,,,,,,,,,,,,,,,,,,,
GRMZM2G115841,-0.764621814,2.903080986,0.028699927,0.14870996,,,,,,,,,,,,,,,,,,,
GRMZM2G171373,-1.165159729,1.870751064,0.028709323,0.148724249,,,,,,,,,,,,,,,,,,,
GRMZM2G358956,1.497734134,0.368357067,0.028753205,0.148917143,,,,,,,,,,,,,,,,,,,
GRMZM2G178916,-0.759811714,1.675408329,0.02877657,0.149003709,,,,,,,,,,,,,,,,,,,
GRMZM2G091166,-0.679812009,2.44397124,0.028816741,0.149170175,,,,,,,,,,,,,,,,,,,
GRMZM2G305159,0.620294023,5.024046155,0.028827524,0.149170175,,,,,,,,,,,,,,,,,,,
GRMZM2G020309,0.564009886,3.981007535,0.028828693,0.149170175,,,,,,,,,,,,,,,,,,,
GRMZM2G110166,-0.507027928,3.510737813,0.028843637,0.149213044,,,,,,,,,,,,,,,,,,,
GRMZM2G127774,0.765060605,2.160717686,0.028855829,0.149231625,,,,,,,,,,,,,,,,,,,
GRMZM2G073888,-0.616864796,3.078588935,0.02886055,0.149231625,,,,,,,,,,,,,,,,,,,
GRMZM2G129311,-0.429927714,4.35046579,0.028896253,0.14938176,,,,,,,,,,,,,,,,,,,
GRMZM2G586825,0.92553952,1.409442634,0.028907845,0.149390336,,,,,,,,,,,,,,,,,,,
GRMZM2G074824,0.541333097,3.126140037,0.028913665,0.149390336,,,,,,,,,,,,,,,,,,,
GRMZM2G581200,-1.718310498,1.365850666,0.028917915,0.149390336,,,,,,,,,,,,,,,,,,,
GRMZM2G033098,-0.968392399,1.326678552,0.028933483,0.149431055,,,,,,,,,,,,,,,,,,,
GRMZM2G366584,1.344021288,1.990646858,0.028939136,0.149431055,,,,,,,,,,,,,,,,,,,
GRMZM2G553532,-0.654238736,3.675615271,0.028982435,0.149572258,,,,,,,,,,,,,,,,,,,
GRMZM2G484432,1.372566164,0.596132433,0.028983089,0.149572258,,,,,,,,,,,,,,,,,,,
GRMZM2G026560,-1.195290991,1.303973205,0.028990245,0.149572258,,,,,,,,,,,,,,,,,,,
GRMZM2G177771,-0.874635513,2.168348516,0.028994607,0.149572258,,,,,,,,,,,,,,,,,,,
GRMZM2G030465,1.335061921,1.681703683,0.028999861,0.149572258,,,,,,,,,,,,,,,,,,,
GRMZM2G027392,0.47653185,5.81219254,0.029023647,0.14965324,,,,,,,,,,,,,,,,,,,
GRMZM5G846811,0.44308391,4.144165691,0.029028921,0.14965324,,,,,,,,,,,,,,,,,,,
GRMZM2G129175,0.575927764,3.985996438,0.029036475,0.149657748,,,,,,,,,,,,,,,,,,,
GRMZM2G426415,0.467272642,5.434560573,0.029049751,0.149667664,,,,,,,,,,,,,,,,,,,
GRMZM5G836353,1.567721684,2.342688666,0.029051759,0.149667664,,,,,,,,,,,,,,,,,,,
GRMZM2G363813,-1.29144135,1.030784192,0.029064747,0.149700153,,,,,,,,,,,,,,,,,,,
GRMZM2G032104,-0.603073528,3.843752277,0.029083727,0.149763481,,,,,,,,,,,,,,,,,,,
GRMZM2G000812,0.772121671,2.74750478,0.029104061,0.149833754,,,,,,,,,,,,,,,,,,,
GRMZM2G024211,-0.826491231,2.761438435,0.029117819,0.149870144,,,,,,,,,,,,,,,,,,,
GRMZM2G174048,0.79913859,2.800255311,0.029130634,0.149901665,,,,,,,,,,,,,,,,,,,
GRMZM2G561903,-0.942947548,0.985969856,0.029149185,0.149940776,,,,,,,,,,,,,,,,,,,
GRMZM5G806622,0.581359729,5.300640949,0.029151619,0.149940776,,,,,,,,,,,,,,,,,,,
GRMZM2G314520,-0.540534734,4.133381438,0.02917227,0.150012557,,,,,,,,,,,,,,,,,,,
GRMZM2G135790,0.356333872,5.335252668,0.029186437,0.150026463,,,,,,,,,,,,,,,,,,,
GRMZM2G535833,-1.512411973,0.494968134,0.029188367,0.150026463,,,,,,,,,,,,,,,,,,,
GRMZM6G182520,0.754115358,3.65225373,0.029196892,0.150035862,,,,,,,,,,,,,,,,,,,
GRMZM2G348560,-1.286244835,0.494876504,0.029227757,0.150160032,,,,,,,,,,,,,,,,,,,
GRMZM2G110423,-0.647413168,3.562592282,0.02923658,0.150170925,,,,,,,,,,,,,,,,,,,
GRMZM2G046804,0.360702836,9.87003663,0.029303883,0.15048212,,,,,,,,,,,,,,,,,,,
GRMZM2G033198,0.380787164,7.149294178,0.029338579,0.150594237,,,,,,,,,,,,,,,,,,,
GRMZM6G946111,-0.44538467,7.074565074,0.029344174,0.150594237,,,,,,,,,,,,,,,,,,,
GRMZM5G843748,0.622003683,4.061603135,0.02934588,0.150594237,,,,,,,,,,,,,,,,,,,
GRMZM2G426486,-1.166763129,0.796328042,0.029370226,0.150684663,,,,,,,,,,,,,,,,,,,
GRMZM2G313460,-0.603175349,2.944678347,0.029419581,0.150903322,,,,,,,,,,,,,,,,,,,
GRMZM2G310548,1.957189003,1.586972883,0.029443672,0.150992324,,,,,,,,,,,,,,,,,,,
GRMZM2G013677,-0.871257659,2.997177694,0.029469297,0.151089153,,,,,,,,,,,,,,,,,,,
GRMZM5G877874,0.480445164,3.873632912,0.029499802,0.15121095,,,,,,,,,,,,,,,,,,,
GRMZM2G108849,-0.472540445,7.021090528,0.029530695,0.151328427,,,,,,,,,,,,,,,,,,,
GRMZM2G005286,-0.799328095,1.247080298,0.029537022,0.151328427,,,,,,,,,,,,,,,,,,,
GRMZM2G106459,0.595360607,2.850082788,0.02954947,0.151328427,,,,,,,,,,,,,,,,,,,
GRMZM2G122344,-0.66538295,3.211473289,0.029549738,0.151328427,,,,,,,,,,,,,,,,,,,
GRMZM2G075051,0.886424353,2.050271587,0.029612112,0.151588987,,,,,,,,,,,,,,,,,,,
GRMZM2G031447,0.907664754,2.411151795,0.029614148,0.151588987,,,,,,,,,,,,,,,,,,,
GRMZM2G088313,-0.80948461,3.522154142,0.029632988,0.151650774,,,,,,,,,,,,,,,,,,,
GRMZM2G172710,-0.800274374,1.127253079,0.029738131,0.152118872,,,,,,,,,,,,,,,,,,,
GRMZM2G079080,-2.267367548,0.680810166,0.029745062,0.152118872,,,,,,,,,,,,,,,,,,,
GRMZM2G081173,-1.157353677,0.565067202,0.029749404,0.152118872,,,,,,,,,,,,,,,,,,,
GRMZM2G062076,0.34690364,7.582704195,0.029751613,0.152118872,,,,,,,,,,,,,,,,,,,
GRMZM2G118637,-1.148994417,2.192900103,0.029759322,0.152123569,,,,,,,,,,,,,,,,,,,
GRMZM2G047368,1.401891773,2.36726221,0.029808284,0.152330672,,,,,,,,,,,,,,,,,,,
GRMZM2G012319,-0.339858291,5.442236766,0.029813434,0.152330672,,,,,,,,,,,,,,,,,,,
GRMZM2G066976,-1.291402789,1.109585357,0.029844456,0.152454406,,,,,,,,,,,,,,,,,,,
GRMZM2G097030,0.961603525,1.309864181,0.029862322,0.152510904,,,,,,,,,,,,,,,,,,,
GRMZM2G088291,1.233095189,0.937304363,0.029876961,0.152550889,,,,,,,,,,,,,,,,,,,
GRMZM2G028054,-0.662164599,4.451568353,0.029897161,0.152605023,,,,,,,,,,,,,,,,,,,
GRMZM5G867991,-0.5973217,2.674711948,0.029901185,0.152605023,,,,,,,,,,,,,,,,,,,
GRMZM2G071996,0.511731786,6.289321997,0.029915949,0.15263197,,,,,,,,,,,,,,,,,,,
GRMZM5G872700,1.579859051,1.239723472,0.02992009,0.15263197,,,,,,,,,,,,,,,,,,,
GRMZM5G880028,-1.662715019,1.799172819,0.029933437,0.152663835,,,,,,,,,,,,,,,,,,,
GRMZM2G070360,0.360807135,6.136022643,0.029942646,0.152663835,,,,,,,,,,,,,,,,,,,
GRMZM2G155015,-0.76295558,3.764476804,0.029946778,0.152663835,,,,,,,,,,,,,,,,,,,
GRMZM2G125392,-1.287976399,0.994911558,0.030009095,0.152946716,,,,,,,,,,,,,,,,,,,
GRMZM2G007729,1.522375549,1.373508018,0.030021488,0.152975082,,,,,,,,,,,,,,,,,,,
AC209460.3_FG002,-0.937437559,1.943409941,0.030054144,0.153106663,,,,,,,,,,,,,,,,,,,
GRMZM2G084389,-1.879656392,0.647450596,0.030086617,0.153237248,,,,,,,,,,,,,,,,,,,
GRMZM2G011800,-0.870520558,2.073715372,0.030094349,0.153241793,,,,,,,,,,,,,,,,,,,
GRMZM2G701688,-0.658736745,2.943644454,0.030106259,0.153267604,,,,,,,,,,,,,,,,,,,
GRMZM2G022856,-0.720518815,2.89513908,0.030150962,0.153445315,,,,,,,,,,,,,,,,,,,
GRMZM2G161418,0.379590537,5.060240124,0.030154864,0.153445315,,,,,,,,,,,,,,,,,,,
GRMZM2G170532,0.399752684,6.523831284,0.030190356,0.153557474,,,,,,,,,,,,,,,,,,,
GRMZM2G174099,1.073456811,2.554808378,0.030190613,0.153557474,,,,,,,,,,,,,,,,,,,
GRMZM2G060481,-0.62552053,6.846097751,0.030214863,0.15364594,,,,,,,,,,,,,,,,,,,
GRMZM2G541023,1.792935869,0.174842795,0.0302691,0.153886812,,,,,,,,,,,,,,,,,,,
GRMZM5G825854,-0.586890069,3.404573301,0.03028024,0.153908527,,,,,,,,,,,,,,,,,,,
GRMZM2G420432,-0.833119111,1.948564934,0.030296562,0.153941269,,,,,,,,,,,,,,,,,,,
GRMZM2G004898,1.662625043,0.460487154,0.030302345,0.153941269,,,,,,,,,,,,,,,,,,,
GRMZM2G110541,-1.195789796,1.294168226,0.030307295,0.153941269,,,,,,,,,,,,,,,,,,,
AC217401.3_FG001,-0.873712716,3.104285097,0.030328097,0.154010736,,,,,,,,,,,,,,,,,,,
GRMZM2G071573,-1.28952173,0.884310121,0.030334719,0.154010736,,,,,,,,,,,,,,,,,,,
GRMZM2G065154,-0.474111679,4.520478742,0.030357373,0.154090836,,,,,,,,,,,,,,,,,,,
GRMZM2G010797,-0.436630315,4.648627033,0.030369512,0.154117533,,,,,,,,,,,,,,,,,,,
GRMZM2G542227,-0.98877967,2.13572618,0.030381765,0.1541448,,,,,,,,,,,,,,,,,,,
GRMZM2G017254,0.325742832,6.582184116,0.030390735,0.154155404,,,,,,,,,,,,,,,,,,,
GRMZM2G139022,0.430943219,4.521250689,0.030433717,0.154338483,,,,,,,,,,,,,,,,,,,
GRMZM2G179907,-0.484044987,4.475810954,0.030458869,0.154413796,,,,,,,,,,,,,,,,,,,
GRMZM2G040397,-0.425500536,4.446529374,0.030463041,0.154413796,,,,,,,,,,,,,,,,,,,
GRMZM2G079219,-0.890473298,2.569918579,0.030469243,0.154413796,,,,,,,,,,,,,,,,,,,
GRMZM2G051151,-0.610576824,5.414043822,0.030488881,0.154439839,,,,,,,,,,,,,,,,,,,
GRMZM2G133213,0.405206147,4.364573374,0.0304992,0.154439839,,,,,,,,,,,,,,,,,,,
GRMZM2G083418,0.347012766,7.594323874,0.030499616,0.154439839,,,,,,,,,,,,,,,,,,,
GRMZM2G483739,1.701290795,0.320454649,0.030501954,0.154439839,,,,,,,,,,,,,,,,,,,
GRMZM6G984842,-1.233585632,0.58534953,0.030515725,0.154474655,,,,,,,,,,,,,,,,,,,
GRMZM2G038931,-0.622345818,3.826369956,0.030546533,0.154595678,,,,,,,,,,,,,,,,,,,
GRMZM2G053004,-1.079521334,1.640940324,0.030576238,0.154678542,,,,,,,,,,,,,,,,,,,
GRMZM2G119316,0.420708926,5.057850134,0.030581386,0.154678542,,,,,,,,,,,,,,,,,,,
GRMZM2G361072,-0.750027884,4.486880702,0.030585941,0.154678542,,,,,,,,,,,,,,,,,,,
GRMZM2G109881,-0.624634319,2.42744561,0.030590521,0.154678542,,,,,,,,,,,,,,,,,,,
GRMZM2G061099,0.523671864,5.104454784,0.030599552,0.154689298,,,,,,,,,,,,,,,,,,,
GRMZM2G008501,-0.849793824,1.300286151,0.030641485,0.154866337,,,,,,,,,,,,,,,,,,,
GRMZM2G178775,0.527512238,3.173989284,0.030717397,0.155176174,,,,,,,,,,,,,,,,,,,
GRMZM2G514324,-0.767475823,2.387947886,0.030720454,0.155176174,,,,,,,,,,,,,,,,,,,
GRMZM2G040991,-0.888129131,1.595347136,0.030723567,0.155176174,,,,,,,,,,,,,,,,,,,
GRMZM2G071705,0.604606133,3.544321676,0.030734827,0.155198061,,,,,,,,,,,,,,,,,,,
GRMZM2G009888,-0.827164964,2.708691575,0.030767968,0.155330404,,,,,,,,,,,,,,,,,,,
GRMZM2G031370,-0.529421694,3.201376251,0.030782102,0.155366748,,,,,,,,,,,,,,,,,,,
GRMZM2G063868,0.664959737,2.511628779,0.030789125,0.155367196,,,,,,,,,,,,,,,,,,,
GRMZM2G060327,-0.623484777,2.498750135,0.030796715,0.155370502,,,,,,,,,,,,,,,,,,,
GRMZM2G324886,-0.752700157,3.092786377,0.030810998,0.155407567,,,,,,,,,,,,,,,,,,,
GRMZM2G326270,0.493555864,10.38274053,0.030857003,0.15560458,,,,,,,,,,,,,,,,,,,
GRMZM5G867373,-0.904320094,1.601642873,0.030898946,0.155759176,,,,,,,,,,,,,,,,,,,
GRMZM2G009014,-0.545397969,3.517046143,0.030901564,0.155759176,,,,,,,,,,,,,,,,,,,
GRMZM2G047968,-0.549001505,5.116047022,0.030924826,0.155841368,,,,,,,,,,,,,,,,,,,
GRMZM2G134708,0.491983991,4.799625376,0.030951721,0.155941829,,,,,,,,,,,,,,,,,,,
GRMZM2G070271,-0.530928835,5.178576795,0.030967355,0.155977355,,,,,,,,,,,,,,,,,,,
GRMZM2G062186,1.032164629,2.569318502,0.030972696,0.155977355,,,,,,,,,,,,,,,,,,,
GRMZM2G441583,-0.340311266,6.026190166,0.031049049,0.156326728,,,,,,,,,,,,,,,,,,,
GRMZM2G020034,-0.415716376,4.381296857,0.031069578,0.156368772,,,,,,,,,,,,,,,,,,,
GRMZM2G167766,-0.501138385,5.386307868,0.031078155,0.156368772,,,,,,,,,,,,,,,,,,,
GRMZM2G377341,0.625061596,8.107178837,0.031078337,0.156368772,,,,,,,,,,,,,,,,,,,
GRMZM2G002578,0.575032547,5.613841631,0.031099213,0.156438675,,,,,,,,,,,,,,,,,,,
GRMZM2G062289,0.384371257,4.666222743,0.031114506,0.156466961,,,,,,,,,,,,,,,,,,,
GRMZM2G115925,0.455557245,5.139903286,0.031118803,0.156466961,,,,,,,,,,,,,,,,,,,
GRMZM2G313162,-0.907825575,1.335961649,0.031159985,0.156606248,,,,,,,,,,,,,,,,,,,
GRMZM2G170457,0.497473742,5.675846688,0.031160484,0.156606248,,,,,,,,,,,,,,,,,,,
GRMZM2G025024,-0.389082335,4.411567212,0.031168596,0.156608133,,,,,,,,,,,,,,,,,,,
GRMZM2G069092,0.546682096,4.169133616,0.031174839,0.156608133,,,,,,,,,,,,,,,,,,,
GRMZM2G316815,-0.815455637,1.617285586,0.03120687,0.156733896,,,,,,,,,,,,,,,,,,,
GRMZM2G550865,-0.31113966,5.989067612,0.031214527,0.15673722,,,,,,,,,,,,,,,,,,,
GRMZM2G001660,-1.362827828,0.673507093,0.031225311,0.156753009,,,,,,,,,,,,,,,,,,,
GRMZM2G032190,0.441418277,5.532333979,0.031231664,0.156753009,,,,,,,,,,,,,,,,,,,
GRMZM2G164948,-0.551868875,2.904939477,0.031262819,0.156790064,,,,,,,,,,,,,,,,,,,
GRMZM2G027535,-0.427195184,4.017099603,0.031265679,0.156790064,,,,,,,,,,,,,,,,,,,
GRMZM2G129071,0.532901204,4.888386359,0.031270852,0.156790064,,,,,,,,,,,,,,,,,,,
GRMZM2G320013,-0.363510557,6.544946539,0.031272279,0.156790064,,,,,,,,,,,,,,,,,,,
GRMZM2G094879,1.137156509,5.201557891,0.031274037,0.156790064,,,,,,,,,,,,,,,,,,,
GRMZM2G040878,0.491568609,8.247020299,0.031283203,0.156800934,,,,,,,,,,,,,,,,,,,
GRMZM2G478078,1.063299959,1.459784617,0.031292073,0.156804821,,,,,,,,,,,,,,,,,,,
AC203958.3_FG003,-1.140536348,1.171559002,0.031297976,0.156804821,,,,,,,,,,,,,,,,,,,
GRMZM2G083138,1.822817535,1.41243807,0.031311803,0.156839024,,,,,,,,,,,,,,,,,,,
GRMZM2G062738,-0.37135131,9.169019816,0.031325253,0.156871323,,,,,,,,,,,,,,,,,,,
GRMZM2G076017,1.54018118,0.590731812,0.031333178,0.156875944,,,,,,,,,,,,,,,,,,,
GRMZM2G330019,-0.529578037,4.699137576,0.031350096,0.156925581,,,,,,,,,,,,,,,,,,,
GRMZM2G054211,-1.152550182,0.762118754,0.031396326,0.157121886,,,,,,,,,,,,,,,,,,,
GRMZM2G174667,-0.62531709,3.40629311,0.031430227,0.157256418,,,,,,,,,,,,,,,,,,,
GRMZM2G113267,-0.427043524,6.943008364,0.031470054,0.157373791,,,,,,,,,,,,,,,,,,,
GRMZM2G383031,-1.080794337,1.390234435,0.031481882,0.157373791,,,,,,,,,,,,,,,,,,,
GRMZM2G147882,0.503502704,5.743043696,0.031485994,0.157373791,,,,,,,,,,,,,,,,,,,
GRMZM2G438895,-0.491302016,7.617416065,0.031486304,0.157373791,,,,,,,,,,,,,,,,,,,
GRMZM2G120975,-0.433685786,4.408712731,0.031492815,0.157373791,,,,,,,,,,,,,,,,,,,
GRMZM2G143767,0.360065895,4.818157106,0.03149583,0.157373791,,,,,,,,,,,,,,,,,,,
GRMZM2G133756,-0.371500049,5.364624346,0.031515285,0.157411675,,,,,,,,,,,,,,,,,,,
GRMZM2G137593,-0.444387458,5.379207876,0.031517464,0.157411675,,,,,,,,,,,,,,,,,,,
GRMZM2G018487,0.716562277,3.130518482,0.031586361,0.157720621,,,,,,,,,,,,,,,,,,,
GRMZM2G467893,-0.753924447,3.104701674,0.031672119,0.158113596,,,,,,,,,,,,,,,,,,,
GRMZM6G741210,0.57523108,8.293231855,0.031697454,0.158199979,,,,,,,,,,,,,,,,,,,
GRMZM2G059225,0.683409562,2.601155224,0.031703544,0.158199979,,,,,,,,,,,,,,,,,,,
GRMZM2G021607,1.460892718,0.367154565,0.031716862,0.158231195,,,,,,,,,,,,,,,,,,,
GRMZM2G437977,-0.535047689,4.654295611,0.031741653,0.158319618,,,,,,,,,,,,,,,,,,,
GRMZM6G508461,0.540386357,7.338717435,0.031764773,0.158399673,,,,,,,,,,,,,,,,,,,
GRMZM2G365761,-1.843204332,1.036238446,0.031782988,0.158455241,,,,,,,,,,,,,,,,,,,
GRMZM2G417525,-1.469284208,0.429736527,0.031806164,0.158493835,,,,,,,,,,,,,,,,,,,
GRMZM2G079796,-0.343901122,4.904936919,0.031811296,0.158493835,,,,,,,,,,,,,,,,,,,
GRMZM2G376074,-0.338968772,5.604563766,0.031815676,0.158493835,,,,,,,,,,,,,,,,,,,
GRMZM5G861997,0.410105347,4.037090779,0.031842799,0.158493835,,,,,,,,,,,,,,,,,,,
GRMZM2G089291,-1.400410151,1.613529971,0.031842966,0.158493835,,,,,,,,,,,,,,,,,,,
GRMZM2G002704,1.058750207,1.257611449,0.031851283,0.158493835,,,,,,,,,,,,,,,,,,,
GRMZM2G427418,-1.502194224,0.33461101,0.031856435,0.158493835,,,,,,,,,,,,,,,,,,,
GRMZM2G145721,1.513585486,0.650175243,0.031856705,0.158493835,,,,,,,,,,,,,,,,,,,
GRMZM2G034840,2.142640666,0.164162188,0.031858497,0.158493835,,,,,,,,,,,,,,,,,,,
GRMZM2G048067,0.349863105,6.066256745,0.03186147,0.158493835,,,,,,,,,,,,,,,,,,,
GRMZM5G846082,-0.390080429,6.935099026,0.031938509,0.158807678,,,,,,,,,,,,,,,,,,,
GRMZM2G347583,-0.471817498,4.817811538,0.031945481,0.158807678,,,,,,,,,,,,,,,,,,,
GRMZM2G052616,-0.66125571,3.707893494,0.031945825,0.158807678,,,,,,,,,,,,,,,,,,,
GRMZM2G112240,-0.407643854,7.175092909,0.031977155,0.15889804,,,,,,,,,,,,,,,,,,,
GRMZM5G851405,0.662525308,2.214890945,0.031978186,0.15889804,,,,,,,,,,,,,,,,,,,
GRMZM2G084984,0.423827897,4.460275587,0.031987881,0.15891097,,,,,,,,,,,,,,,,,,,
GRMZM2G118214,-0.807518181,1.732068512,0.032031537,0.159092573,,,,,,,,,,,,,,,,,,,
